,title,subtitle,link
0,LIVERPOOL 2 BRENTFORD 0,Diaz & Salah score to give Arne Slot perfect first home game,https://www.thesun.co.uk/sport/30081356/liverpool-brentford-report-diaz-salah-arne-slot-anfield/
1,ENTER SANMAN,Chelsea 'exploring' Sancho transfer in deal that could see ace move to Man Utd,https://www.thesun.co.uk/sport/30082737/chelsea-jadon-sancho-man-utd-transfer/
2,SVEN'S PAIN,Eriksson's close friend gives heartbreaking update on football legend's health,https://www.thesun.co.uk/sport/30079152/sven-goran-erikssons-cancer-diagnosis-documentary/
3,SCOTT TO GO,Napoli agree McTominay deal in move that could help Man Utd land top target,https://www.thesun.co.uk/sport/30079122/napoli-scott-mctominay-man-utd-transfer/
4,CAUGHT OFFSIDE,Prem League star 'dumped by wife' after she 'caught him cheating on camera',https://www.thesun.co.uk/sport/30076260/premier-league-star-cheating-dumped-by-wife-ring-doorbell/
5,CALM DOWN SON,Chelsea & Wolves CHAOS as players forced apart after repeated bust-ups,https://www.thesun.co.uk/sport/30079064/chelsea-wolves-fight-jackson-cunha/
6,OWN COLE,Why Cole Palmer's goal vs Wolves should NOT have stood due to little-known rule,https://www.thesun.co.uk/sport/30081886/chelsea-cole-palmer-goal-disallowed-rule/
7,CHELSEA PLAYER RATINGS,Hat-trick hero Madueke shines but Mudryk has quiet game,https://www.thesun.co.uk/sport/30079534/chelsea-player-ratings-wolves-hat-trick-madueke-palmer/
8,TAKE THE MIK,Jackson posts furious warning to Chelsea legend John Obi Mikel after criticism,https://www.thesun.co.uk/sport/30081458/nicolas-jackson-john-obi-mikel-chelsea/
9,PALM READER,Cole Palmer's first Chelsea goal of the season vs Wolves is as cold as it comes,https://www.thesun.co.uk/sport/30079941/chelsea-cole-palmer-goal-wolves/
10,BOURNEMOUTH 1 NEWCASTLE 1,Controversy as hosts' last-minute winner is RULED OUT by VAR,https://www.thesun.co.uk/sport/30079806/bournemouth-1-newcastle-1-var-controversy/
11,CRYSTAL BALLS UP,Agony for Super 6 punter as they miss out on £1m jackpot by ONE GOAL,https://www.thesun.co.uk/sport/30081819/super-6-misses-out-liverpool-fans-nunez/
12,KIER'S TEARS,Kieran Trippier goes viral during Newcastle's clash at Bournemouth,https://www.thesun.co.uk/sport/30079610/kieran-trippier-viral-newcastle-bournemouth-sky-sports/
13,SIGNINGS IN THE RAIN,Premier League club hold bizarre team talk OUTSIDE of dressing room,https://www.thesun.co.uk/sport/30078701/west-ham-team-talk-outside-dressing-room/
14,TIME TO ED OFF,Arsenal star Nketiah lined up by Forest's rivals after transfer breaks down,https://www.thesun.co.uk/sport/30082657/arsenal-eddie-nketiah-transfer-forest-crystal-palace/
15,YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
16,TOTELY GREAT,Get £50 in welcome bonuses when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
