title,subtitle,link
LIVERPOOL 2 BRENTFORD 0,Diaz & Salah score to give Arne Slot perfect first home game,https://www.thesun.co.uk/sport/30081356/liverpool-brentford-report-diaz-salah-arne-slot-anfield/
BOURNEMOUTH 1 NEWCASTLE 1,Controversy as hosts' last-minute winner is RULED OUT by VAR,https://www.thesun.co.uk/sport/30079806/bournemouth-1-newcastle-1-var-controversy/
SCOTT TO GO,Napoli agree McTominay deal in move that could help Man Utd land top target,https://www.thesun.co.uk/sport/30079122/napoli-scott-mctominay-man-utd-transfer/
SVEN'S PAIN,Eriksson's close friend gives heartbreaking update on football legend's health,https://www.thesun.co.uk/sport/30079152/sven-goran-erikssons-cancer-diagnosis-documentary/
CAUGHT OFFSIDE,Prem League star 'dumped by wife' after she 'caught him cheating on camera',https://www.thesun.co.uk/sport/30076260/premier-league-star-cheating-dumped-by-wife-ring-doorbell/
CALM DOWN SON,Chelsea & Wolves CHAOS as players forced apart after repeated bust-ups,https://www.thesun.co.uk/sport/30079064/chelsea-wolves-fight-jackson-cunha/
CHELSEA PLAYER RATINGS,Hat-trick hero Madueke shines but Mudryk has quiet game,https://www.thesun.co.uk/sport/30079534/chelsea-player-ratings-wolves-hat-trick-madueke-palmer/
PALM READER,Cole Palmer's first Chelsea goal of the season vs Wolves is as cold as it comes,https://www.thesun.co.uk/sport/30079941/chelsea-cole-palmer-goal-wolves/
HAA-RSH WORDS,Haaland gives eight-word response to reporter's fantasy football question,https://www.thesun.co.uk/sport/30078349/fans-haaland-fantasy-football-ipswich-care-interview/
KIER'S TEARS,Kieran Trippier goes viral during Newcastle's clash at Bournemouth,https://www.thesun.co.uk/sport/30079610/kieran-trippier-viral-newcastle-bournemouth-sky-sports/
TOR BLIMEY,Chelsea’s Osimhen move could be OFF due to crazy wage demands with duo lined up,https://www.thesun.co.uk/sport/30073339/chelsea-victor-osimhen-federico-chiesa-calvert-lewin-transfers/
"LIKE FATHER, LIKE SON",My dad's a Sky Sports pundit - now I'm making my own way at Prem club,https://www.thesun.co.uk/sport/30075837/jamie-redknapp-son-beau-brentford-transfer/
SIGNINGS IN THE RAIN,Premier League club hold bizarre team talk OUTSIDE of dressing room,https://www.thesun.co.uk/sport/30078701/west-ham-team-talk-outside-dressing-room/
GAB GRAB,Jesus set for MRI scan on injured groin as Arsenal fear star faces spell out,https://www.thesun.co.uk/sport/30075580/gabriel-jesus-mri-scan-injury-arsenal/
HAVING A PADDY,Paddy Power pay out on Everton to be relegated after just two Prem games,https://www.thesun.co.uk/sport/30077128/paddy-power-pay-out-everton-relegated-two-games/
